,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Russell,40,US,1591809750,66,32.35,-85.2,87.8,11.41
376,Iqaluit,75,CA,1591809902,69,63.75,-68.51,37.4,23.04
377,Biharkeresztes,20,HU,1591809903,64,47.13,21.72,72.0,4.7
378,Gejiu,99,CN,1591809903,100,23.31,103.16,59.86,2.35
379,São João da Barra,3,BR,1591809800,51,-21.64,-41.05,84.2,9.17
380,Kungurtug,28,RU,1591809903,90,50.6,97.52,33.93,1.74
381,Maturin,67,VE,1591809903,67,9.75,-63.18,86.58,7.2
382,Phek,87,IN,1591809903,100,25.67,94.5,62.4,2.17
383,Lata,84,PT,1591809903,58,40.16,-8.33,69.01,10.0
384,Tarakan,99,ID,1591809903,80,3.3,117.63,79.77,6.15
385,Road Town,40,VG,1591809903,66,18.42,-64.62,87.8,8.05
386,Kirakira,80,SB,1591809903,78,-10.45,161.92,79.65,6.71
387,Mitú,15,CO,1591809903,46,1.2,-70.17,91.47,3.44
388,Puerto del Rosario,20,ES,1591809903,60,28.5,-13.86,75.2,12.75
389,Tiarei,75,PF,1591809903,83,-17.53,-149.33,75.2,3.36
390,Pundaguitan,100,PH,1591809903,77,6.37,126.17,82.71,9.15
391,Valley City,40,US,1591809903,55,46.92,-98.0,64.4,21.92
392,Wołów,75,PL,1591809904,68,51.34,16.64,66.99,5.82
393,Belyy Yar,20,RU,1591809904,93,53.6,91.39,44.6,4.47
394,Kushima,75,JP,1591809904,83,31.46,131.23,75.2,11.41
395,Aripuanã,0,BR,1591809904,37,-9.17,-60.63,92.23,3.65
396,Pitimbu,75,BR,1591809904,88,-7.47,-34.81,78.8,10.29
397,Vila Franca do Campo,40,PT,1591809904,82,37.72,-25.43,64.4,12.75
398,Yar-Sale,72,RU,1591809904,51,66.83,70.83,47.8,15.99
399,Iranshahr,40,IR,1591809904,17,27.2,60.68,102.2,4.7
400,San Cristobal,40,VE,1591809904,65,7.77,-72.22,82.4,18.34
401,Punta Cardon,95,VE,1591809904,68,11.66,-70.22,86.02,15.55
402,Den Chai,100,TH,1591809904,90,17.98,100.05,76.66,2.42
403,Cascais,20,PT,1591809904,59,38.7,-9.42,69.01,24.16
404,Sørland,0,NO,1591809904,70,67.67,12.69,48.2,19.46
405,Moose Factory,90,CA,1591809904,82,51.26,-80.61,60.8,9.17
406,Coari,7,BR,1591809904,47,-4.08,-63.14,91.27,2.93
407,Wundanyi,43,KE,1591809904,84,-3.4,38.36,61.83,7.96
408,Lithgow,95,AU,1591809904,92,-33.48,150.15,46.99,0.45
409,Tralee,40,IE,1591809904,76,52.27,-9.7,53.6,12.75
410,Nosy Varika,27,MG,1591809905,81,-20.58,48.53,68.74,6.46
411,Changtu,0,CN,1591809905,82,42.78,124.1,55.0,6.76
412,Glossop,84,GB,1591809639,77,53.44,-1.95,59.0,1.99
413,Mount Isa,0,AU,1591809787,39,-20.73,139.5,64.4,6.93
414,Raudeberg,20,NO,1591809905,67,61.99,5.14,68.0,8.05
415,Yueyang,2,CN,1591809905,92,29.33,113.09,74.01,2.01
416,Quelimane,4,MZ,1591809905,83,-17.88,36.89,73.4,8.05
417,Pangody,70,RU,1591809905,47,65.85,74.49,50.54,17.05
418,Aljezur,0,PT,1591809905,47,37.32,-8.8,75.99,15.97
419,Kabalo,59,CD,1591809905,35,-6.05,26.92,80.2,3.27
420,Tarrafal,20,CV,1591809905,69,15.28,-23.77,82.4,5.82
421,Vijāpur,1,IN,1591809905,55,23.57,72.75,89.44,3.71
422,Belaya Gora,99,RU,1591809905,65,68.53,146.42,42.35,12.08
423,Pahlgām,31,IN,1591809905,53,34.03,75.33,55.13,4.29
424,Gornopravdinsk,0,RU,1591809905,51,60.05,69.9,70.5,6.58
425,Sangar,43,RU,1591809905,81,63.92,127.47,48.52,3.58
426,Wuzhou,98,CN,1591809905,94,23.48,111.32,77.25,2.3
427,Kloulklubed,75,PW,1591809905,83,7.04,134.26,80.6,3.36
428,North Bend,90,US,1591809905,100,43.41,-124.22,68.0,10.29
429,Āsmār,1,AF,1591809905,43,35.03,71.36,75.9,2.8
430,Nattam,100,IN,1591809906,65,10.23,78.23,83.03,2.01
431,Haines Junction,100,CA,1591809906,40,60.75,-137.51,54.86,5.82
432,Palu,62,ID,1591809906,82,-0.89,119.87,76.62,2.35
433,Balotra,2,IN,1591809906,41,25.83,72.23,95.68,16.31
434,Socorro,5,US,1591809753,7,31.65,-106.3,84.0,9.17
435,Derzhavīnsk,34,KZ,1591809906,46,51.1,66.32,73.74,7.78
436,Gamba,52,GA,1591809906,85,-2.65,10.0,75.81,8.72
437,Puerto El Triunfo,20,SV,1591809906,70,13.28,-88.55,87.8,6.93
438,Sanāwad,75,IN,1591809906,74,22.18,76.07,78.8,7.23
439,Ngunguru,77,NZ,1591809906,93,-35.62,174.5,48.99,4.0
440,La Asuncion,83,VE,1591809906,58,11.03,-63.86,87.8,10.29
441,Marsh Harbour,34,BS,1591809906,80,26.54,-77.06,79.92,17.29
442,Nuuk,75,GL,1591809906,93,64.18,-51.72,39.2,11.41
443,Umm Kaddadah,99,SD,1591809906,23,13.6,26.69,96.49,7.76
444,Asha,83,RU,1591809906,92,55.0,57.27,61.45,4.74
445,Tanout,30,NE,1591809906,20,14.97,8.89,100.02,4.52
446,Alhama de Murcia,65,ES,1591809906,38,37.85,-1.43,82.99,8.99
447,Kajiado,75,KE,1591809607,82,-1.85,36.78,64.4,10.29
448,Tynda,7,RU,1591809906,88,55.17,124.72,44.71,3.04
449,Saint-Joseph,20,RE,1591809769,73,-21.37,55.62,69.8,19.46
450,Orlea,75,RO,1591809907,64,43.75,24.38,71.6,9.17
451,Minador do Negrão,62,BR,1591809907,64,-9.31,-36.86,82.58,11.18
452,Zihuatanejo,5,MX,1591809907,62,17.63,-101.55,86.0,11.41
453,Värnamo,26,SE,1591809907,42,57.19,14.04,70.0,1.01
454,Maceió,40,BR,1591809665,66,-9.67,-35.74,84.2,13.87
455,Dinguiraye,50,GN,1591809907,42,11.3,-10.72,92.14,6.85
456,Pevek,41,RU,1591809907,89,69.7,170.31,34.95,11.65
457,Tadine,24,NC,1591809907,80,-21.55,167.88,71.49,18.61
458,Bathsheba,40,BB,1591809907,66,13.22,-59.52,86.0,13.87
459,Sandata,38,RU,1591809907,54,46.27,41.76,77.54,7.16
460,Vestmanna,49,FO,1591809907,62,62.16,-7.17,51.8,12.75
461,Dawlatabad,0,AF,1591809907,15,36.41,64.91,81.54,9.8
462,Guerrero Negro,0,MX,1591809907,18,27.98,-114.06,85.26,3.65
463,Berdigestyakh,81,RU,1591809907,91,62.1,126.7,48.31,4.27
464,Alta Floresta,75,BR,1591809907,49,-9.88,-56.09,89.6,8.05
465,Hofn,20,IS,1591809907,71,64.25,-15.21,57.2,2.24
466,Münster,20,DE,1591809907,68,51.96,7.63,64.99,5.82
467,Kumul,49,CN,1591809908,19,42.8,93.45,76.32,16.96
468,Simões,5,BR,1591809908,50,-7.6,-40.82,86.29,10.8
469,Santa Marta,75,CO,1591809908,78,11.24,-74.2,82.4,9.17
470,Qandala,12,SO,1591809908,47,11.47,49.87,93.16,2.06
471,Brae,2,GB,1591809908,66,60.4,-1.35,51.8,10.29
472,Buchanan,75,LR,1591809908,70,5.88,-10.05,84.2,9.17
473,Lavrentiya,3,RU,1591809908,80,65.58,-171.0,40.24,3.98
474,Darhan,46,MN,1591809908,73,49.49,105.92,51.03,4.09
475,Korla,23,CN,1591809908,25,41.76,86.15,74.07,12.06
476,Tomari,19,RU,1591809908,82,47.77,142.07,55.09,12.26
477,Chalchihuites,100,MX,1591809908,35,23.48,-103.88,74.08,7.99
478,Palembang,17,ID,1591809778,96,-2.92,104.75,76.05,2.93
479,Waingapu,91,ID,1591809908,79,-9.66,120.26,75.7,10.02
480,Husavik,3,IS,1591809908,48,66.04,-17.34,62.6,13.87
481,Carbonia,20,IT,1591809822,40,39.17,8.52,75.0,12.75
482,Znamenskoye,99,RU,1591809908,60,57.13,73.83,71.31,4.97
483,Mananjary,11,MG,1591809908,80,-21.22,48.33,68.54,7.02
484,Yumen,16,CN,1591809908,23,40.28,97.2,66.31,5.79
485,Teluknaga,20,ID,1591809908,88,-6.1,106.64,84.0,6.93
486,Lakes Entrance,61,AU,1591809908,78,-37.88,147.98,47.3,5.19
487,Dakar,48,SN,1591809805,78,14.69,-17.44,80.6,11.41
488,Kupang,87,ID,1591809908,77,-10.17,123.58,76.15,10.25
489,Chililabombwe,12,ZM,1591809788,53,-12.36,27.82,60.58,2.8
490,Umba,89,RU,1591809909,80,66.69,34.34,49.42,3.06
491,Sazonovo,30,RU,1591809909,66,59.09,35.23,76.17,2.15
492,Huangzhou,6,CN,1591809909,94,30.45,114.8,77.0,6.71
493,Saint Anthony,90,US,1591809909,55,45.02,-93.22,64.99,17.22
494,Vale da Amoreira,30,PT,1591809909,48,39.07,-7.7,82.0,1.01
495,Suleja,31,NG,1591809818,65,9.18,7.18,83.1,5.46
496,Rocha,5,UY,1591809909,52,-34.48,-54.33,65.17,3.98
497,La Ronge,75,CA,1591809909,55,55.1,-105.28,62.6,8.05
498,Pasni,0,PK,1591809909,87,25.26,63.47,84.51,18.66
499,Margate,100,GB,1591809909,63,51.38,1.39,61.0,1.99
500,Samaro,2,PK,1591809909,54,25.28,69.4,91.83,19.75
501,Benghazi,44,LY,1591809909,67,32.12,20.07,74.5,17.05
502,Šibenik,0,HR,1591809909,56,43.73,15.91,71.6,6.93
503,San Jose,40,US,1591809908,46,37.34,-121.89,79.0,3.11
504,Sibolga,81,ID,1591809909,80,1.74,98.78,78.64,2.66
505,Zhangye,39,CN,1591809909,37,38.93,100.45,67.14,8.08
506,Auburn,75,US,1591809635,82,47.31,-122.23,66.0,0.4
507,Guozhen,36,CN,1591809909,68,34.37,107.36,71.89,1.92
508,Eyl,7,SO,1591809909,55,7.98,49.82,86.34,22.55
509,Grajaú,33,BR,1591809910,56,-5.82,-46.14,87.82,5.73
510,Whithorn,20,JM,1591809910,74,18.26,-78.04,86.0,17.22
511,Banda Aceh,99,ID,1591809910,81,5.56,95.32,80.46,6.69
512,Morehead,1,US,1591809910,48,37.27,-87.18,84.99,20.8
513,Ust-Tsilma,100,RU,1591809910,88,65.44,52.15,55.51,7.7
514,Ponta Delgada,40,PT,1591809910,82,37.73,-25.67,64.4,12.75
515,Liuli,36,TZ,1591809910,61,-11.08,34.63,72.59,7.2
516,Corrente,48,BR,1591809910,60,-3.74,-43.34,86.88,2.77
517,Siguiri,71,GN,1591809910,40,11.67,-9.5,92.12,4.05
518,Bereda,61,ES,1591809910,69,43.27,-7.54,69.01,10.0
519,Kenai,40,US,1591809910,87,60.55,-151.26,50.0,1.68
520,Minsk,75,BY,1591809727,54,53.9,27.57,78.8,8.95
521,Carmarthen,100,GB,1591809910,100,51.86,-4.31,55.99,12.75
522,Iracoubo,2,GF,1591809910,72,5.48,-53.2,83.41,7.61
523,Steamboat Springs,75,US,1591809910,47,40.48,-106.83,57.99,5.82
524,Sibu,75,MY,1591809657,88,2.3,111.82,77.0,3.36
525,Havøysund,75,NO,1591809910,75,71.0,24.66,42.8,23.04
526,Pyapon,88,MM,1591809910,81,16.28,95.68,81.54,10.98
527,Lagos,75,NG,1591809911,70,6.58,3.75,87.8,10.29
528,Aleksandrov Gay,82,RU,1591809911,61,50.15,48.57,77.68,9.1
529,Ayan,78,RU,1591809911,92,56.45,138.17,41.07,3.51
530,Andújar,5,ES,1591809911,24,38.04,-4.05,84.99,5.99
531,Akdepe,0,TM,1591809911,21,42.06,59.38,86.0,6.93
532,Saint George,1,US,1591809911,16,37.1,-113.58,82.0,3.36
533,Mayumba,24,GA,1591809911,87,-3.43,10.66,75.74,7.58
534,Nantucket,90,US,1591809911,88,41.28,-70.1,62.6,9.17
535,Mangan,65,IN,1591809911,55,27.52,88.53,74.53,1.61
536,Lyuban',1,BY,1591809911,81,52.8,28.0,75.85,8.55
537,Broome,40,US,1591809911,69,42.25,-75.83,82.99,10.29
538,Krasnoyarskaya,47,RU,1591809911,42,47.65,42.04,77.85,10.4
539,Mahon,20,ES,1591809911,49,39.89,4.27,71.6,11.41
540,Tiverton,40,GB,1591809911,87,50.9,-3.48,57.0,8.05
541,Kytmanovo,71,RU,1591809911,91,53.46,85.45,48.78,3.71
542,Tabou,100,CI,1591809911,92,4.42,-7.35,75.74,7.63
543,Caxito,20,AO,1591809912,69,-8.58,13.66,77.0,11.41
544,Berlevåg,75,NO,1591809912,75,70.86,29.09,44.6,26.4
545,Cape Coast,97,GH,1591809912,80,5.11,-1.25,80.58,13.6
546,Lorengau,100,PG,1591809912,76,-2.02,147.27,81.18,1.59
547,Poum,20,NC,1591809912,78,-20.23,164.02,74.46,20.11
548,Hay River,90,CA,1591809912,100,60.82,-115.8,39.2,6.93
549,Laas,75,IT,1591809912,93,46.62,10.7,55.99,3.36
550,Panabá,39,MX,1591809912,64,21.28,-88.27,88.99,8.9
551,Malindi,20,KE,1591809912,83,-3.22,40.12,80.6,6.93
552,Turaif,0,SA,1591809912,14,31.67,38.66,87.8,13.87
553,Swan Hill,42,AU,1591809912,89,-35.34,143.55,46.67,3.47
554,La Cruz,59,MX,1591809912,77,23.92,-106.9,82.0,5.99
555,Muswellbrook,98,AU,1591809912,95,-32.27,150.9,55.51,1.61
556,Necochea,0,AR,1591809912,58,-38.55,-58.74,60.01,7.0
557,Nizhnyaya Omka,77,RU,1591809912,81,55.43,74.94,67.96,4.92
558,Avera,40,US,1591809912,94,33.19,-82.53,84.2,9.17
